id,louvain_label
ENSG00000226029,2
ENSG00000080947,2
ENSG00000219481,3
ENSG00000215908,1
ENSG00000186301,3
ENSG00000236698,0
ENSG00000058453,1
ENSG00000186715,2
ENSG00000159363,1
ENSG00000117118,0
ENSG00000117115,3
ENSG00000179051,1
ENSG00000074964,1
ENSG00000117154,1
ENSG00000230035,2
ENSG00000009709,0
ENSG00000159423,4
ENSG00000169991,1
ENSG00000272084,2
ENSG00000127481,1
ENSG00000127463,0
ENSG00000053372,1
ENSG00000211454,2
ENSG00000162482,1
ENSG00000270728,4
ENSG00000053371,3
ENSG00000040487,1
ENSG00000077549,1
ENSG00000173436,0
ENSG00000226396,1
ENSG00000158747,1
ENSG00000158748,1
ENSG00000162542,1
ENSG00000169914,2
ENSG00000127472,4
ENSG00000162543,0
ENSG00000236963,1
ENSG00000162545,0
ENSG00000090432,1
ENSG00000183114,1
ENSG00000158828,1
ENSG00000117242,1
ENSG00000244038,0
ENSG00000117245,1
ENSG00000189410,1
ENSG00000127483,3
ENSG00000075151,0
ENSG00000233072,2
ENSG00000235112,2
ENSG00000117298,4
ENSG00000142794,2
ENSG00000162551,1
ENSG00000076864,1
ENSG00000090686,3
ENSG00000142798,4
ENSG00000218510,0
ENSG00000070831,0
ENSG00000230068,2
ENSG00000271428,2
ENSG00000271840,2
ENSG00000162552,1
ENSG00000184677,3
ENSG00000070886,1
ENSG00000173372,4
ENSG00000159189,4
ENSG00000173369,4
ENSG00000133216,1
ENSG00000272796,1
ENSG00000004487,0
ENSG00000169641,1
ENSG00000229010,2
ENSG00000261326,2
ENSG00000125944,0
ENSG00000125945,0
ENSG00000249087,4
ENSG00000204219,1
ENSG00000088280,4
ENSG00000117318,4
ENSG00000142676,3
ENSG00000011007,3
ENSG00000236810,2
ENSG00000057757,0
ENSG00000011009,1
ENSG00000117308,1
ENSG00000117305,4
ENSG00000179163,0
ENSG00000189266,0
ENSG00000188529,0
ENSG00000185436,4
ENSG00000001460,0
ENSG00000001461,3
ENSG00000117602,3
ENSG00000133226,3
ENSG00000169504,3
ENSG00000117614,0
ENSG00000117616,2
ENSG00000187010,2
ENSG00000183726,0
ENSG00000188672,4
ENSG00000204178,0
ENSG00000157978,3
ENSG00000117643,1
ENSG00000233478,2
ENSG00000162430,1
ENSG00000117640,1
ENSG00000127423,0
ENSG00000182749,1
ENSG00000117632,0
ENSG00000158006,3
ENSG00000158008,1
ENSG00000175087,0
ENSG00000142675,2
ENSG00000130695,3
ENSG00000142669,1
ENSG00000158062,1
ENSG00000117682,1
ENSG00000225891,3
ENSG00000198830,4
ENSG00000117676,3
ENSG00000117713,1
ENSG00000060642,3
ENSG00000204160,1
ENSG00000142751,1
ENSG00000198746,1
ENSG00000090273,1
ENSG00000253368,0
ENSG00000090020,1
ENSG00000142784,1
ENSG00000243659,2
ENSG00000186501,1
ENSG00000142733,4
ENSG00000181773,1
ENSG00000158195,4
ENSG00000126705,1
ENSG00000000938,4
ENSG00000126709,1
ENSG00000009780,0
ENSG00000117758,0
ENSG00000117751,0
ENSG00000130775,3
ENSG00000117748,0
ENSG00000158156,3
ENSG00000158161,2
ENSG00000228589,0
ENSG00000169403,4
ENSG00000126698,0
ENSG00000130770,0
ENSG00000130766,1
ENSG00000130772,0
ENSG00000204138,3
ENSG00000180198,2
ENSG00000242125,1
